Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Warrington, N.M., Beaumont, R.N., Horikoshi, M., Day, F.R., Helgeland, Ø., Laurin, C., Bacelis, J., Peng, S., Hao, K., Feenstra, B., Wood, A.R., Mahajan, A., Tyrrell, J., Robertson, N.R., Rayner, N.W., Qiao, Z., Moen, G.-H., Vaudel, M., Marsit, C.J., Chen, J., Nodzenski, M., Schnurr, T.M., Zafarmand, M.H., Bradfield, J.P., Grarup, N., Kooijman, M.N., Li-Gao, R., Geller, F., Ahluwalia, T.S., Paternoster, L., Rueedi, R., Huikari, V., Hottenga, J.-J., Lyytikäinen, L.-P., Cavadino, A., Metrustry, S., Cousminer, D.L., Wu, Y., Thiering, E., Wang, C.A., Have, C.T., Vilor-Tejedor, N., Joshi, P.K., Painter, J.N., Ntalla, I., Myhre, R., Pitkänen, N., van Leeuwen, E.M., Joro, R., Lagou, V., Richmond, R.C., Espinosa, A., Barton, S.J., Inskip, H.M., Holloway, J.W., Santa-Marina, L., Estivill, X., Ang, W., Marsh, J.A., Reichetzeder, C., Marullo, L., Hocher, B., Lunetta, K.L., Murabito, J.M., Relton, C.L., Kogevinas, M., Chatzi, L., Allard, C., Bouchard, L., Hivert, M.-F., Zhang, G., Muglia, L.J., Heikkinen, J., Morgen, C.S., van Kampen, A.H.C., van Schaik, B.D.C., Mentch, F.D., Langenberg, C., Luan, J., Scott, R.A., Zhao, J.H., Hemani, G., Ring, S.M., Bennett, A.J., Gaulton, K.J., Fernandez-Tajes, J., van Zuydam, N.R., Medina-Gomez, C., de Haan, H.G., Rosendaal, F.R., Kutalik, Z., Marques-Vidal, P., Das, S., Willemsen, G., Mbarek, H., Müller-Nurasyid, M., Standl, M., Appel, E.V.R., Fonvig, C.E., Trier, C., van Beijsterveldt, C.E.M., Murcia, M., Bustamante, M., Bonas-Guarch, S., Hougaard, D.M., Mercader, J.M., Linneberg, A., Schraut, K.E., Lind, P.A., Medland, S.E., Shields, B.M., Knight, B.A., Chai, J.-F., Panoutsopoulou, K., Bartels, M., Sánchez, F., Stokholm, J., Torrents, D., Vinding, R.K., Willems, S.M., Atalay, M., Chawes, B.L., Kovacs, P., Prokopenko, I., Tuke, M.A., Yaghootkar, H., Ruth, K.S., Jones, S.E., Loh, P.-R., Murray, A., Weedon, M.N., Tönjes, A., Stumvoll, M., Michaelsen, K.F., Eloranta, A.-M., Lakka, T.A., van Duijn, C.M., Kiess, W., Körner, A., Niinikoski, H., Pahkala, K., Raitakari, O.T., Jacobsson, B., Zeggini, E., Dedoussis, G.V., Teo, Y.-Y., Saw, S.-M., Montgomery, G.W., Campbell, H., Wilson, J.F., Vrijkotte, T.G.M., Vrijheid, M., de Geus, E.J.C.N., Hayes, M.G., Kadarmideen, H.N., Holm, J.-C., Beilin, L.J., Pennell, C.E., Heinrich, J., Adair, L.S., Borja, J.B., Mohlke, K.L., Eriksson, J.G., Widén, E.E., Hattersley, A.T., Spector, T.D., Kähönen, M., Viikari, J.S., Lehtimäki, T., Boomsma, D.I., Sebert, S., Vollenweider, P., Sørensen, T.I.A., Bisgaard, H., Bønnelykke, K., Murray, J.C., Melbye, M., Nohr, E.A., Mook-Kanamori, D.O., Rivadeneira, F., Hofman, A., Felix, J.F., Jaddoe, V.W.V., Hansen, T., Pisinger, C., Vaag, A.A., Pedersen, O., Uitterlinden, A.G., Järvelin, M.-R., Power, C., Hyppönen, E., Scholtens, D.M., Lowe, W.L., Davey Smith, G., Timpson, N.J., Morris, A.P., Wareham, N.J., Hakonarson, H., Grant, S.F.A., Frayling, T.M., Lawlor, D.A., Njølstad, P.R., Johansson, S., Ong, K.K., McCarthy, M.I., Perry, J.R.B., Evans, D.M., Freathy, R.M.",57200630008;57156164500;14021627700;57203122743;57211729701;55185338000;55598642900;57194767627;34770116300;25622357300;36505189800;8907580300;36149612100;57215216204;15052409700;55620684800;57188549639;35560103600;6602980785;55972809400;55645533700;57191957189;23053504300;17345207700;15759864800;56049280100;57202561151;57219446179;23097179800;57211727740;35769634900;57204543022;6508277910;57200872624;55246086700;46461818500;35772291000;56093296300;56398202600;57207902848;36514642800;56305434600;57216109700;7006561382;22835706900;6602732157;56624400100;57205771242;56196781800;23990754500;56118190500;37664851200;7201743957;22998230100;57221220827;57205595009;36047834200;54912049000;36106091900;54944792100;57204366878;57226205763;6701853655;7003557869;6603403494;57204080924;9733090600;14025340300;8885043800;24536802900;7405273341;35432240400;22734251800;24178756200;7003277956;7004661261;57203904942;58062162200;7005172964;56489197300;57210179740;57207869708;57222728250;35228520900;16424787300;22134383000;57207897338;57193001593;57209072901;7004174530;35239982300;55651163200;55170819300;57209063721;57220380086;57202315232;57197777383;57216606972;57216607536;56543317700;6601910290;23098078600;10539367000;57220472159;7003632207;57206260356;55624798600;57211721006;23019149500;34571085600;7003460189;57209842089;57200637574;57193020253;7102291011;57197388310;36550801900;6603452371;56719689600;51864674600;57219717834;35331635400;55728560000;24167365600;55854153500;57223117018;57220337912;57225857711;56513426500;57833059800;6603919352;6508158868;56965303600;7004634697;36643813200;7007104204;36037246700;7102422024;57211912893;57193074594;25422474000;7004828916;7006649727;57203258251;6701705920;7004326310;7006402006;8739667300;7202318417;56920724500;6603457807;6603357596;7006594888;8776548900;57216607286;16026467600;35391339800;57203081812;56214831600;7005651928;57210854281;57213720699;7202626958;57214556456;7102760992;35351391300;57222955288;35446128700;58584595800;35378012400;57203721635;7003669072;57224182931;57217332813;57216998235;7404760616;7102477985;57219637143;57208233149;57207897492;57190078722;57202519178;57221097806;57199388397;55933747600;7006759757;35373396900;35231615000;57207896735;57203229564;55884875400;8546081800;7102817262;35354080500;35355373400;7403404824;34668706300;55531171800;57964833600;7003962934;7102452820;7004591440;55540911700;57216343734;57220846574;57208094738;7601570762;13410580600;,Maternal and fetal genetic effects on birth weight and their relevance to cardio-metabolic risk factors,2019,Nature Genetics,51,5,,804,814,,333,10.1038/s41588-019-0403-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065213720&doi=10.1038%2fs41588-019-0403-1&partnerID=40&md5=c26deebe79e1bdd43e4ae149550a1cb1,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85065213720
"Dashti, H.S., Jones, S.E., Wood, A.R., Lane, J.M., van Hees, V.T., Wang, H., Rhodes, J.A., Song, Y., Patel, K., Anderson, S.G., Beaumont, R.N., Bechtold, D.A., Bowden, J., Cade, B.E., Garaulet, M., Kyle, S.D., Little, M.A., Loudon, A.S., Luik, A.I., Scheer, F.A.J.L., Spiegelhalder, K., Tyrrell, J., Gottlieb, D.J., Tiemeier, H., Ray, D.W., Purcell, S.M., Frayling, T.M., Redline, S., Lawlor, D.A., Rutter, M.K., Weedon, M.N., Saxena, R.",56195278500;57225857711;36505189800;55934765000;56904096900;57208128597;57205477520;57207203837;58411375200;7404216222;57156164500;14621513600;26321030600;6701813089;6603958992;24279890900;57203050134;7006745432;55933649300;6603581864;23020086500;36149612100;57205909881;6603547661;57217603814;56425536500;7003962934;7102381732;7102452820;7201521766;6603919352;7006931003;,Genome-wide association study identifies genetic loci for self-reported habitual sleep duration supported by accelerometer-derived estimates,2019,Nature Communications,10,1,1100,,,,324,10.1038/s41467-019-08917-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062583459&doi=10.1038%2fs41467-019-08917-4&partnerID=40&md5=9e808559eecb0d062b49d8ed403ab1a8,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85062583459
"Pasman, J.A., Verweij, K.J.H., Gerring, Z., Stringer, S., Sanchez-Roige, S., Treur, J.L., Abdellaoui, A., Nivard, M.G., Baselmans, B.M.L., Ong, J.-S., Ip, H.F., van der Zee, M.D., Bartels, M., Day, F.R., Fontanillas, P., Elson, S.L., de Wit, H., Davis, L.K., MacKillop, J., Derringer, J.L., Branje, S.J.T., Hartman, C.A., Heath, A.C., van Lier, P.A.C., Madden, P.A.F., Mägi, R., Meeus, W., Montgomery, G.W., Oldehinkel, A.J., Pausova, Z., Ramos-Quiroga, J.A., Paus, T., Ribases, M., Kaprio, J., Boks, M.P.M., Bell, J.T., Spector, T.D., Gelernter, J., Boomsma, D.I., Martin, N.G., MacGregor, S., Perry, J.R.B., Palmer, A.A., Posthuma, D., Munafò, M.R., Gillespie, N.A., Derks, E.M., Vink, J.M.",57195436614;57190675903;57189304687;54407564900;54400411200;56037137300;57215382116;55200498200;56925504800;57190756687;57203040291;57201254626;7102291011;57203122743;57216595407;57195239955;7103314378;57203425292;57220345635;23974299500;6603389186;55982654500;7201835346;8535212600;7102050074;56813518300;56246075800;8739667300;6701347101;6701856846;21233942100;35451935100;6508152614;35379599600;6603260738;56662646100;35351391300;7005602079;35378012400;57195254907;56591946800;57208094738;57203194921;6701827628;7004859481;57209403509;57211618283;57197940178;,"GWAS of lifetime cannabis use reveals new risk loci, genetic overlap with psychiatric traits, and a causal influence of schizophrenia",2018,Nature Neuroscience,21,9,,1161,1170,,310,10.1038/s41593-018-0206-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052700617&doi=10.1038%2fs41593-018-0206-1&partnerID=40&md5=44a87c7bcfd4a2742211d5151f8fdea7,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85052700617
"Sanderson, E.",56707095100;,Multivariable mendelian randomization and mediation,2021,Cold Spring Harbor Perspectives in Medicine,11,2,a038984,1,12,,309,10.1101/cshperspect.a038984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099841326&doi=10.1101%2fcshperspect.a038984&partnerID=40&md5=6148554fe0238c795a8d82c3aa6ae998,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85099841326
"Burgess, S., Foley, C.N., Allara, E., Staley, J.R., Howson, J.M.M.",37080302300;57203890672;39260926400;56564963800;57222581645;,A robust and efficient method for Mendelian randomization with hundreds of genetic variants,2020,Nature Communications,11,1,376,,,,308,10.1038/s41467-019-14156-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078003336&doi=10.1038%2fs41467-019-14156-4&partnerID=40&md5=3f0f163ed32480b748e4be89a35ebfea,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85078003336
"Wootton, R.E., Richmond, R.C., Stuijfzand, B.G., Lawn, R.B., Sallis, H.M., Taylor, G.M.J., Hemani, G., Jones, H.J., Zammit, S., Davey Smith, G., Munafò, M.R.",57192066694;56118190500;57188825055;57201447178;53984987000;56079566600;57207869708;57213204597;6603745740;57220145221;7004859481;,Evidence for causal effects of lifetime smoking on risk for depression and schizophrenia: A Mendelian randomisation study,2020,Psychological Medicine,50,14,,2435,2443,,305,10.1017/S0033291719002678,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095461386&doi=10.1017%2fS0033291719002678&partnerID=40&md5=4b4d8618a00a46b4cde536f5ed3595f2,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85095461386
"Burgess, S., Labrecque, J.A.",57722208500;46761264400;,Mendelian randomization with a binary exposure variable: interpretation and presentation of causal estimates,2018,European Journal of Epidemiology,33,10,,947,952,,300,10.1007/s10654-018-0424-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050517030&doi=10.1007%2fs10654-018-0424-6&partnerID=40&md5=a7e3e76eded4843bb0f89f8a1561dc39,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85050517030
"Morrison, J., Knoblauch, N., Marcus, J.H., Stephens, M., He, X.",20335413400;55584617800;56711650100;7201574987;56864793600;,Mendelian randomization accounting for correlated and uncorrelated pleiotropic effects using genome-wide summary statistics,2020,Nature Genetics,52,7,,740,747,,292,10.1038/s41588-020-0631-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085297166&doi=10.1038%2fs41588-020-0631-4&partnerID=40&md5=4d31157df72992c14bec56d5fe25688c,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85085297166
"Richmond, R.C., Smith, G.D.",56118190500;57285115400;,Mendelian Randomization: Concepts and Scope,2022,Cold Spring Harbor Perspectives in Medicine,12,1,a040501,,,,288,10.1101/cshperspect.a040501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122265505&doi=10.1101%2fcshperspect.a040501&partnerID=40&md5=82dd0d774482cf7b81bced006cb6a441,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85122265505
"Papadimitriou, N., Dimou, N., Tsilidis, K.K., Banbury, B., Martin, R.M., Lewis, S.J., Kazmi, N., Robinson, T.M., Albanes, D., Aleksandrova, K., Berndt, S.I., Timothy Bishop, D., Brenner, H., Buchanan, D.D., Bueno-de-Mesquita, B., Campbell, P.T., Castellví-Bel, S., Chan, A.T., Chang-Claude, J., Ellingjord-Dale, M., Figueiredo, J.C., Gallinger, S.J., Giles, G.G., Giovannucci, E., Gruber, S.B., Gsur, A., Hampe, J., Hampel, H., Harlid, S., Harrison, T.A., Hoffmeister, M., Hopper, J.L., Hsu, L., María Huerta, J., Huyghe, J.R., Jenkins, M.A., Keku, T.O., Kühn, T., La Vecchia, C., Le Marchand, L., Li, C.I., Li, L., Lindblom, A., Lindor, N.M., Lynch, B., Markowitz, S.D., Masala, G., May, A.M., Milne, R., Monninkhof, E., Moreno, L., Moreno, V., Newcomb, P.A., Offit, K., Perduca, V., Pharoah, P.D.P., Platz, E.A., Potter, J.D., Rennert, G., Riboli, E., Sánchez, M.-J., Schmit, S.L., Schoen, R.E., Severi, G., Sieri, S., Slattery, M.L., Song, M., Tangen, C.M., Thibodeau, S.N., Travis, R.C., Trichopoulou, A., Ulrich, C.M., van Duijnhoven, F.J.B., Van Guelpen, B., Vodicka, P., White, E., Wolk, A., Woods, M.O., Wu, A.H., Peters, U., Gunter, M.J., Murphy, N.",57191859969;24586876800;12789243400;57197782229;55689388800;57198811524;57210384993;57200533650;7006558522;56665321800;8551151700;57211357617;7201832825;7203007859;57193627153;8267088400;57193218784;56446134500;7006409966;55418477400;34569113100;34975072000;57193910834;57203069058;7101800850;6603891904;7006423541;7102196402;25821568000;57196615376;12798158700;7201924128;57200496758;7006213506;23009108400;55507588400;6603754088;55232553200;57208311194;7006229986;35234072100;57303833600;7005502801;7006650995;11940427900;7102347123;7004104734;23486114900;36640290600;55901714000;57204945669;7103038363;7005002750;57214986390;37011716500;7102929844;7004399130;35380121900;7005198718;57191801446;57198806178;56716433600;7102066725;7004042887;6603792079;57200136681;55649804700;7003733464;34573421500;7006381597;56448218100;35411299700;9743317700;8616366600;7004841464;57208460351;7005802145;57210925326;57224753209;55568520917;57212525623;7103396991;,Physical activity and risks of breast and colorectal cancer: a Mendelian randomisation analysis,2020,Nature Communications,11,1,597,,,,286,10.1038/s41467-020-14389-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078709648&doi=10.1038%2fs41467-020-14389-8&partnerID=40&md5=fb409f3cb36e91f3446888a2d49e2756,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85078709648
"Slob, E.A.W., Burgess, S.",57200102180;37080302300;,A comparison of robust Mendelian randomization methods using summary data,2020,Genetic Epidemiology,44,4,,313,329,,285,10.1002/gepi.22295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083066495&doi=10.1002%2fgepi.22295&partnerID=40&md5=912326fafcd13c71722b20ed7212973c,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85083066495
"Pingault, J.-B., O’Reilly, P.F., Schoeler, T., Ploubidis, G.B., Rijsdijk, F., Dudbridge, F.",8369960100;57193724673;56829527700;14020124700;6701830835;6602743665;,Using genetic data to strengthen causal inference in observational research,2018,Nature Reviews Genetics,19,9,,566,580,,284,10.1038/s41576-018-0020-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048031133&doi=10.1038%2fs41576-018-0020-3&partnerID=40&md5=7ee540e243aa3171cc1309eb8a7bb380,Review,Final,,Scopus,2-s2.0-85048031133
"Emdin, C.A., Khera, A.V., Natarajan, P., Klarin, D., Zekavat, S.M., Hsiao, A.J., Kathiresan, S.",55558417300;57213721138;35422683300;55233821300;57191417447;56496576600;6602176567;,"Genetic association of waist-to-hip ratio with cardiometabolic traits, type 2 diabetes, and coronary heart disease",2017,JAMA - Journal of the American Medical Association,317,6,,626,634,,282,10.1001/jama.2016.21042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014708940&doi=10.1001%2fjama.2016.21042&partnerID=40&md5=c5872704d1267e3781f6ef4bed17d1a2,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85014708940
"Ligthart, S., Vaez, A., Võsa, U., Stathopoulou, M.G., de Vries, P.S., Prins, B.P., Van der Most, P.J., Tanaka, T., Naderi, E., Rose, L.M., Wu, Y., Karlsson, R., Barbalic, M., Lin, H., Pool, R., Zhu, G., Macé, A., Sidore, C., Trompet, S., Mangino, M., Sabater-Lleal, M., Kemp, J.P., Abbasi, A., Kacprowski, T., Verweij, N., Smith, A.V., Huang, T., Marzi, C., Feitosa, M.F., Lohman, K.K., Kleber, M.E., Milaneschi, Y., Mueller, C., Huq, M., Vlachopoulou, E., Lyytikäinen, L.-P., Oldmeadow, C., Deelen, J., Perola, M., Zhao, J.H., Feenstra, B., Alizadeh, B.Z., Boezen, H.M., Franke, L., van der Harst, P., Navis, G., Rots, M., Snieder, H., Swertz, M., Wolffenbuttel, B.H.R., Wijmenga, C., Amini, M., Chasman, D.I., Ahluwalia, T.S., Meigs, J., Tracy, R., Ligthart, S., Bis, J., Eiriksdottir, G., Pankratz, N., Gross, M., Rainer, A., Snieder, H., Wilson, J.G., Dupuis, J., Prins, B., Vaso, U., Stathopoulou, M., Koenig, W., Jamshidi, Y., Siest, S., Abbasi, A., Abdollahi, M., Schnabel, R., Schick, U.M., Nolte, I.M., Kraja, A., Hsu, Y.-H., Tylee, D.S., Zwicker, A., Uher, R., Davey-Smith, G., Morrison, A.C., Hicks, A., van Duijn, C.M., Ward-Caviness, C., Boerwinkle, E., Rotter, J., Rice, K., Lange, L., Perola, M., Morris, A.P., Makela, K.M., Stacey, D., Frayling, T.M., Lahti, J., Schraut, K.E., Fornage, M., Suktitipat, B., Chen, W.-M., Li, X., Nutile, T., Malerba, G., Luan, J., Bak, T., Schork, N., Del Greco M., F., Thiering, E., Mahajan, A., Marioni, R.E., Mihailov, E., Ozel, A.B., Zhang, W., Nethander, M., Cheng, Y.-C., Aslibekyan, S., Ang, W., Gandin, I., Yengo, L., Portas, L., Kooperberg, C., Hofer, E., Rajan, K.B., Schurmann, C., den Hollander, W., Ahluwalia, T.S., Zhao, J., Draisma, H.H.M., Ford, I., Timpson, N., Teumer, A., Huang, H., Wahl, S., Liu, Y., Huang, J., Uh, H.-W., Geller, F., Joshi, P.K., Yanek, L.R., Trabetti, E., Lehne, B., Vozzi, D., Verbanck, M., Biino, G., Saba, Y., Meulenbelt, I., O'Connell, J.R., Laakso, M., Giulianini, F., Magnusson, P.K.E., Ballantyne, C.M., Hottenga, J.J., Montgomery, G.W., Rivadineira, F., Rueedi, R., Steri, M., Herzig, K.-H., Stott, D.J., Menni, C., Frånberg, M., St. Pourcain, B., Felix, S.B., Pers, T.H., Bakker, S.J.L., Kraft, P., Peters, A., Vaidya, D., Delgado, G., Smit, J.H., Großmann, V., Sinisalo, J., Seppälä, I., Williams, S.R., Holliday, E.G., Moed, M., Langenberg, C., Räikkönen, K., Ding, J., Campbell, H., Sale, M.M., Chen, Y.-D.I., James, A.L., Ruggiero, D., Soranzo, N., Hartman, C.A., Smith, E.N., Berenson, G.S., Fuchsberger, C., Hernandez, D., Tiesler, C.M.T., Giedraitis, V., Liewald, D., Fischer, K., Mellström, D., Larsson, A., Wang, Y., Scott, W.R., Lorentzon, M., Beilby, J., Ryan, K.A., Pennell, C.E., Vuckovic, D., Balkau, B., Concas, M.P., Schmidt, R., Mendes de Leon, C.F., Bottinger, E.P., Kloppenburg, M., Paternoster, L., Boehnke, M., Musk, A.W., Willemsen, G., Evans, D.M., Madden, P.A.F., Kähönen, M., Kutalik, Z., Zoledziewska, M., Karhunen, V., Kritchevsky, S.B., Sattar, N., Lachance, G., Clarke, R., Harris, T.B., Raitakari, O.T., Attia, J.R., van Heemst, D., Kajantie, E., Sorice, R., Gambaro, G., Scott, R.A., Hicks, A.A., Ferrucci, L., Standl, M., Lindgren, C.M., Starr, J.M., Karlsson, M., Lind, L., Li, J.Z., Chambers, J.C., Mori, T.A., de Geus, E.J.C.N., Heath, A.C., Martin, N.G., Auvinen, J., Buckley, B.M., de Craen, A.J.M., Waldenberger, M., Strauch, K., Meitinger, T., Scott, R.J., McEvoy, M., Beekman, M., Bombieri, C., Ridker, P.M., Mohlke, K.L., Pedersen, N.L., Morrison, A.C., Boomsma, D.I., Whitfield, J.B., Strachan, D.P., Hofman, A., Vollenweider, P., Cucca, F., Jarvelin, M.-R., Jukema, J.W., Spector, T.D., Hamsten, A., Zeller, T., Uitterlinden, A.G., Nauck, M., Gudnason, V., Qi, L., Grallert, H., Borecki, I.B., Rotter, J.I., März, W., Wild, P.S., Lokki, M.-L., Boyle, M., Salomaa, V., Melbye, M., Eriksson, J.G., Wilson, J.F., Penninx, B.W.J.H., Becker, D.M., Worrall, B.B., Gibson, G., Krauss, R.M., Ciullo, M., Zaza, G., Wareham, N.J., Oldehinkel, A.J., Palmer, L.J., Murray, S.S., Pramstaller, P.P., Bandinelli, S., Heinrich, J., Ingelsson, E., Deary, I.J., Mägi, R., Vandenput, L., van der Harst, P., Desch, K.C., Kooner, J.S., Ohlsson, C., Hayward, C., Lehtimäki, T., Shuldiner, A.R., Arnett, D.K., Beilin, L.J., Robino, A., Froguel, P., Pirastu, M., Jess, T., Loos, R.J.F., Evans, D.A., Schmidt, H., Slagboom, P.E., Eiriksdottir, G., Morris, A.P., Psaty, B.M., Tracy, R.P., Nolte, I.M., Visvikis-Siest, S., Reiner, A.P., Gross, M., Bis, J.C., Franco, O.H., Benjamin, E.J., Dupuis, J., Snieder, H., Dehghan, A.",56222037900;57205122986;42462595300;15846989400;56144647300;6701413608;26322051600;57211009334;57195986273;57211654994;56093296300;57205457440;8435172000;36039863600;8383862800;22636559600;55505486400;36151309600;22954837300;15926160500;12242471200;36993915500;57215951423;57211895755;57193816845;56424163100;56652837200;16178111500;16189126100;57197441343;34872560400;57201570703;57638261900;57204418250;56042642700;57200872624;24471011800;37116722000;57218701932;57210179740;25622357300;14069866300;6603839820;56310093600;57217708796;57224655120;7003603731;7006990967;57193020203;7005975255;7005273061;57211778522;6701612213;23097179800;7006125159;57216588719;56222037900;6603292486;6602165684;8836918800;57220727268;57204428325;7006990967;7406645019;57216996442;6701413608;57204423460;15846989400;55586732900;57195074187;55958268200;35228415800;36508608900;8708614100;55630497700;7102054770;6508020208;57253463500;43561764400;57194219242;57201919550;57220145221;57218601840;57207898882;36037246700;57222585375;7102087489;57209222891;14120284900;7103078524;57218701932;7403404824;12809799300;35316321100;57216482949;57202558452;57211721006;6602465971;8907740000;57216208471;57216515050;57222595197;6602086536;7005172964;57189578724;7005529116;57204091824;56398202600;57216302527;59157643500;57220420587;12802985100;57196272200;57205269657;35602694900;57212854133;54912049000;57218506338;36189115500;57211528991;57554219700;55549313400;7102877841;53981988900;55814235000;23097179800;57109501800;11141468300;7006691891;58173789200;35355373400;55645158900;37054953200;58871676000;56640005600;16053615900;57219446179;57216109700;6701472152;7003360391;57193694955;14024976100;56825519400;57216109356;57196316816;57205132117;57209983700;36078643000;8042182200;24756281600;7101711066;6508277910;8739667300;57204143533;35769634900;55027399000;7007026450;13309434700;25622426300;57216586642;57204842580;57214768699;57208041337;7006070107;57210773481;58871917800;8307579800;57221723771;57208417253;36806264600;57194322469;54927389100;55290948900;8879831700;55946321200;58062162200;7003281795;7402608341;57540525300;57216594359;8145846200;7402664088;36515433800;57222595186;55982654500;35204105100;7202490790;59263634800;57205551798;57215189971;6507606185;57211010420;7403154309;24174880900;56381985300;15924373500;57199442149;57525945000;7004400303;57204787688;57203081812;55990126500;7005943124;57215301532;57212615213;7003483591;57223660442;6701738535;57211727740;7005423657;57203073902;57209063721;7601570762;7102050074;58550541400;35239982300;23476247500;57210776128;7005494101;7007043802;57197704103;57216122507;57220774479;7004828916;7003299759;6602350356;7004275338;57209985164;35597500900;56489197300;7006388546;57215726620;57197777383;57218362371;57214358018;16178166100;26643471200;59081410500;57214438415;7407259854;57222582406;7201835346;57216717619;57204744525;57211450292;58354259700;57197777520;57021167300;57215631099;7404341627;57225336625;57205082895;6602094538;18535933700;57213720699;7202300001;57218601840;35378012400;16187873900;57209515246;57190078722;7003669072;57216814185;57207896735;7005836769;57384202100;7101682939;8840941700;35231615000;57206034720;7003353432;57191987767;16067125800;7006776577;56284453500;57220605236;57204170728;57209504271;7202761793;7004714461;7102477985;57221681217;56920724500;55800249300;57209646766;57885337400;7401884069;7103124166;57202564400;23399045700;34668706300;6701347101;57226679759;57199358742;7003683728;7003381018;56214831600;6506552509;57193752767;57484651100;57204699283;6602378288;8840197700;56188131900;57203254236;35369845200;58584595800;57202560735;57546861800;35391339800;55165108100;57202558736;7006656218;26643354600;57216775598;57203374678;56906599500;57205083205;6602165684;7403404824;35374213400;57216588719;7102054770;23095839100;55568517715;57220727268;6603292486;58788870800;24553920400;57216996442;7006990967;16023891700;,"Genome Analyses of &gt;200,000 Individuals Identify 58 Loci for Chronic Inflammation and Highlight Pathways that Link Inflammation and Complex Disorders",2018,American Journal of Human Genetics,103,5,,691,706,,271,10.1016/j.ajhg.2018.09.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055557317&doi=10.1016%2fj.ajhg.2018.09.009&partnerID=40&md5=c4a6ae7415d4672f95ea51f421518982,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85055557317
